"Mouse","Stage","Behavior","Time","Amplitude","SEM","Condition"
3,"Shocks","Motion",300,0.55,0.55,"LD"
3,"Shocks","Motion",310,0.05,0.05,"LD"
3,"Shocks","Motion",320,0,0,"LD"
3,"Shocks","Motion",330,0,0,"LD"
3,"Shocks","Motion",340,0,0,"LD"
3,"Shocks","Motion",350,0,0,"LD"
3,"Shocks","Motion",360,0,0,"LD"
3,"Shocks","Motion",370,0,0,"LD"
3,"Shocks","Motion",380,0,0,"LD"
3,"Shocks","Motion",390,0,0,"LD"
3,"Shocks","Motion",400,0,0,"LD"
3,"Shocks","Motion",410,0.075,0.075,"LD"
3,"Shocks","Motion",420,0,0,"LD"
3,"Shocks","Motion",430,0,0,"LD"
3,"Shocks","Motion",440,0,0,"LD"
3,"Shocks","Motion",450,0,0,"LD"
3,"Shocks","Motion",460,0,0,"LD"
3,"Shocks","Motion",470,0,0,"LD"
3,"Shocks","Motion",480,0,0,"LD"
3,"Shocks","Motion",490,0,0,"LD"
3,"Shocks","Motion",500,0,0,"LD"
3,"Shocks","Motion",510,0,0,"LD"
3,"Shocks","Motion",520,0,0,"LD"
3,"Shocks","Motion",530,0,0,"LD"
3,"Shocks","Motion",540,0,0,"LD"
3,"Shocks","Motion",550,0,0,"LD"
3,"Shocks","Motion",560,0,0,"LD"
3,"Shocks","Motion",570,0,0,"LD"
3,"Shocks","Motion",580,0,0,"LD"
3,"Shocks","Motion",590,0,0,"LD"
3,"Shocks","Motion",600,0,0,"LD"
3,"Shocks","Motion",610,0,0,"LD"
3,"Shocks","Motion",620,0,0,"LD"
3,"Shocks","Motion",630,0,0,"LD"
3,"Shocks","Motion",640,0,0,"LD"
3,"Shocks","Motion",650,0.075,0.075,"LD"
3,"Shocks","Motion",660,0.075,0.075,"LD"
3,"Shocks","Motion",670,0,0,"LD"
3,"Shocks","Motion",680,0,0,"LD"
3,"Shocks","Motion",690,0,0,"LD"
3,"Shocks","Motion",700,0,0,"LD"
3,"Shocks","Motion",710,0,0,"LD"
3,"Shocks","Motion",720,1.75,0.26,"LD"
3,"Shocks","Motion",730,1.725,0.3,"LD"
3,"Shocks","Motion",740,1.925,0.265,"LD"
3,"Shocks","Motion",750,1.975,0.27,"LD"
3,"Shocks","Motion",760,1.8,0.51,"LD"
3,"Shocks","Motion",770,1.825,0.375,"LD"
3,"Shocks","Motion",780,1.425,0.28,"LD"
3,"Shocks","Motion",790,1.3,0.45,"LD"
3,"Shocks","Motion",800,1.35,0.5,"LD"
3,"Shocks","Motion",810,1,0.445,"LD"
3,"Shocks","Motion",820,0.75,0.3,"LD"
3,"Shocks","Motion",830,1.025,0.68,"LD"
3,"Shocks","Motion",840,0.825,0.535,"LD"
3,"Shocks","Motion",850,0.975,0.345,"LD"
3,"Shocks","Motion",860,0.525,0.395,"LD"
3,"Shocks","Motion",870,0.65,0.435,"LD"
3,"Shocks","Motion",880,0.925,0.41,"LD"
3,"Shocks","Motion",890,0.95,0.36,"LD"
3,"Shocks","Motion",900,0.9,0.63,"LD"
3,"Shocks","Motion",910,0.875,0.545,"LD"
3,"Shocks","Motion",920,0.6,0.415,"LD"
3,"Shocks","Motion",930,0.7,0.455,"LD"
3,"Shocks","Motion",940,0.2,0.115,"LD"
3,"Shocks","Motion",950,0.65,0.65,"LD"
3,"Shocks","Motion",960,0.725,0.425,"LD"
3,"Shocks","Motion",970,0.825,0.46,"LD"
3,"Shocks","Motion",980,0.55,0.405,"LD"
3,"Shocks","Motion",990,0.525,0.335,"LD"
3,"Shocks","Motion",1000,0.825,0.38,"LD"
3,"Shocks","Motion",1010,0.675,0.35,"LD"
3,"Shocks","Motion",1020,0.725,0.49,"LD"
3,"Shocks","Motion",1030,0.725,0.345,"LD"
3,"Shocks","Motion",1040,0.9,0.445,"LD"
3,"Shocks","Motion",1050,0.9,0.57,"LD"
3,"Shocks","Motion",1060,0.575,0.45,"LD"
3,"Shocks","Motion",1070,0.45,0.36,"LD"
3,"Shocks","Motion",1080,0.8,0.485,"LD"
3,"Shocks","Motion",1090,0.95,0.505,"LD"
3,"Shocks","Motion",1100,0.525,0.395,"LD"
3,"Shocks","Motion",1110,0.75,0.625,"LD"
3,"Shocks","Motion",1120,0.925,0.615,"LD"
3,"Shocks","Motion",1130,1.25,0.615,"LD"
3,"Shocks","Motion",1140,0.675,0.465,"LD"
3,"Shocks","Motion",1150,0.6,0.145,"LD"
3,"Shocks","Motion",1160,0.325,0.275,"LD"
3,"Shocks","Motion",1170,0.375,0.22,"LD"
3,"Shocks","Motion",1180,1.025,0.6,"LD"
3,"Shocks","Motion",1190,0.75,0.5,"LD"
3,"Shocks","Motion",1200,0.175,0.145,"LD"
3,"Shocks","Motion",1210,0,0,"LD"
3,"Shocks","Motion",1220,0.075,0.05,"LD"
3,"Shocks","Motion",1230,0.075,0.075,"LD"
3,"Shocks","Motion",1240,0.425,0.195,"LD"
3,"Shocks","Motion",1250,0.025,0.025,"LD"
3,"Shocks","Motion",1260,0.15,0.12,"LD"
3,"Shocks","Motion",1270,0.625,0.525,"LD"
3,"Shocks","Motion",1280,0.775,0.43,"LD"
3,"Shocks","Motion",1290,0.875,0.54,"LD"
3,"Shocks","Motion",1300,0.225,0.145,"LD"
3,"Shocks","Motion",1310,0.275,0.275,"LD"
3,"Shocks","Motion",1320,0.525,0.365,"LD"
3,"Shocks","Motion",1330,0.6,0.355,"LD"
3,"Shocks","Motion",1340,2.3,0.46,"LD"
3,"Shocks","Motion",1350,1.775,0.315,"LD"
3,"Shocks","Motion",1360,1.25,0.395,"LD"
3,"Shocks","Motion",1370,1.2,0.65,"LD"
3,"Shocks","Motion",1380,1.05,0.445,"LD"
3,"Shocks","Motion",1390,2.05,0.38,"LD"
3,"Shocks","Motion",1400,1.575,0.38,"LD"
3,"Shocks","Motion",1410,1.575,0.255,"LD"
3,"Shocks","Motion",1420,1.85,0.365,"LD"
3,"Shocks","Motion",1430,1.8,0.315,"LD"
2,"Baseline","Nest",0,0.25,0.22,"LD"
2,"Baseline","Nest",10,0.03,0.03,"LD"
2,"Baseline","Nest",20,0.03,0.03,"LD"
2,"Baseline","Nest",30,0.05,0.05,"LD"
2,"Baseline","Nest",40,0.03,0.03,"LD"
2,"Baseline","Nest",50,0.03,0.03,"LD"
2,"Baseline","Nest",60,0.4,0.4,"LD"
2,"Baseline","Nest",70,0.23,0.23,"LD"
2,"Baseline","Nest",80,0.32,0.19,"LD"
2,"Baseline","Nest",90,0.12,0.12,"LD"
2,"Baseline","Nest",100,0.17,0.17,"LD"
2,"Baseline","Nest",110,0.3,0.18,"LD"
2,"Baseline","Nest",120,0.17,0.17,"LD"
2,"Baseline","Nest",130,0,0,"LD"
2,"Baseline","Nest",140,0.22,0.17,"LD"
2,"Baseline","Nest",150,0.03,0.03,"LD"
2,"Baseline","Nest",160,0.17,0.17,"LD"
2,"Baseline","Nest",170,0.37,0.23,"LD"
2,"Baseline","Nest",180,0.03,0.03,"LD"
2,"Baseline","Nest",190,0,0,"LD"
2,"Baseline","Nest",200,0.1,0.06,"LD"
2,"Baseline","Nest",210,0.07,0.07,"LD"
2,"Baseline","Nest",220,0.22,0.17,"LD"
2,"Baseline","Nest",230,0.7,0.42,"LD"
2,"Baseline","Nest",240,1.18,0.57,"LD"
2,"Baseline","Nest",250,1.9,0.65,"LD"
2,"Baseline","Nest",260,1.82,0.94,"LD"
2,"Baseline","Nest",270,1.58,0.88,"LD"
2,"Baseline","Nest",280,1.35,0.79,"LD"
2,"Baseline","Nest",290,1.37,0.79,"LD"
2,"Baseline","Nest",300,0.95,0.82,"LD"
2,"Baseline","Nest",310,0.7,0.7,"LD"
2,"Baseline","Nest",320,0.85,0.85,"LD"
2,"Baseline","Nest",330,0.55,0.55,"LD"
2,"Baseline","Nest",340,0.75,0.72,"LD"
2,"Baseline","Nest",350,1.43,0.71,"LD"
2,"Baseline","Nest",360,1.8,0.71,"LD"
2,"Baseline","Nest",370,1.07,0.6,"LD"
2,"Baseline","Nest",380,0.75,0.52,"LD"
2,"Baseline","Nest",390,0.85,0.53,"LD"
2,"Baseline","Nest",400,0.23,0.23,"LD"
2,"Baseline","Nest",410,0.45,0.26,"LD"
2,"Baseline","Nest",420,0.57,0.48,"LD"
2,"Baseline","Nest",430,0.1,0.1,"LD"
2,"Baseline","Nest",440,0.78,0.78,"LD"
2,"Baseline","Nest",450,0.42,0.42,"LD"
2,"Baseline","Nest",460,0.25,0.25,"LD"
2,"Baseline","Nest",470,0.28,0.24,"LD"
2,"Baseline","Nest",480,0,0,"LD"
2,"Baseline","Nest",490,0.12,0.12,"LD"
2,"Baseline","Nest",500,0,0,"LD"
2,"Baseline","Nest",510,0,0,"LD"
2,"Baseline","Nest",520,0,0,"LD"
2,"Baseline","Nest",530,0,0,"LD"
2,"Baseline","Nest",540,0.1,0.1,"LD"
2,"Baseline","Nest",550,0,0,"LD"
2,"Baseline","Nest",560,0.35,0.35,"LD"
2,"Baseline","Nest",570,0.4,0.4,"LD"
2,"Baseline","Nest",580,0.15,0.15,"LD"
2,"Baseline","Nest",590,0.3,0.3,"LD"
2,"Baseline","Nest",600,0.45,0.45,"LD"
2,"Baseline","Nest",610,0,0,"LD"
2,"Baseline","Nest",620,0.17,0.17,"LD"
2,"Baseline","Nest",630,0.25,0.25,"LD"
2,"Baseline","Nest",640,0.23,0.13,"LD"
2,"Baseline","Nest",650,0.35,0.35,"LD"
2,"Baseline","Nest",660,0,0,"LD"
2,"Baseline","Nest",670,0,0,"LD"
2,"Baseline","Nest",680,0.1,0.1,"LD"
2,"Baseline","Nest",690,0.1,0.1,"LD"
2,"Baseline","Nest",700,0,0,"LD"
2,"Baseline","Nest",710,0.15,0.1,"LD"
2,"Baseline","Nest",720,0.95,0.64,"LD"
2,"Baseline","Nest",730,2.18,0.46,"LD"
2,"Baseline","Nest",740,1.82,0.36,"LD"
2,"Baseline","Nest",750,1.37,0.23,"LD"
2,"Baseline","Nest",760,1.6,0.25,"LD"
2,"Baseline","Nest",770,1.17,0.26,"LD"
2,"Baseline","Nest",780,1.97,0.37,"LD"
2,"Baseline","Nest",790,1.47,0.39,"LD"
2,"Baseline","Nest",800,1.98,0.5,"LD"
2,"Baseline","Nest",810,1.57,0.4,"LD"
2,"Baseline","Nest",820,1.77,0.28,"LD"
2,"Baseline","Nest",830,1.6,0.33,"LD"
2,"Baseline","Nest",840,1.2,0.35,"LD"
2,"Baseline","Nest",850,1.35,0.35,"LD"
2,"Baseline","Nest",860,0.7,0.39,"LD"
2,"Baseline","Nest",870,1.12,0.57,"LD"
2,"Baseline","Nest",880,1,0.58,"LD"
2,"Baseline","Nest",890,0.4,0.26,"LD"
2,"Baseline","Nest",900,0.22,0.17,"LD"
2,"Baseline","Nest",910,0.28,0.28,"LD"
2,"Baseline","Nest",920,0.33,0.33,"LD"
2,"Baseline","Nest",930,1.02,0.61,"LD"
2,"Baseline","Nest",940,0.77,0.45,"LD"
2,"Baseline","Nest",950,0.55,0.33,"LD"
2,"Baseline","Nest",960,0.82,0.19,"LD"
2,"Baseline","Nest",970,1.7,0.45,"LD"
2,"Baseline","Nest",980,1.5,0.17,"LD"
2,"Baseline","Nest",990,1.87,0.43,"LD"
2,"Baseline","Nest",1000,1.68,0.43,"LD"
2,"Baseline","Nest",1010,1.33,0.3,"LD"
2,"Baseline","Nest",1020,1.4,0.46,"LD"
2,"Baseline","Nest",1030,0.57,0.36,"LD"
2,"Baseline","Nest",1040,1.02,0.59,"LD"
2,"Baseline","Nest",1050,0.9,0.64,"LD"
2,"Baseline","Nest",1060,0.47,0.28,"LD"
2,"Baseline","Nest",1070,0.8,0.46,"LD"
2,"Baseline","Nest",1080,0.75,0.44,"LD"
2,"Baseline","Nest",1090,0.65,0.55,"LD"
2,"Baseline","Nest",1100,0.53,0.31,"LD"
2,"Baseline","Nest",1110,0.47,0.47,"LD"
2,"Baseline","Nest",1120,0.4,0.26,"LD"
2,"Baseline","Nest",1130,0.7,0.35,"LD"
2,"Baseline","Nest",1140,0.72,0.43,"LD"
2,"Baseline","Nest",1150,0.47,0.29,"LD"
2,"Baseline","Nest",1160,0.58,0.54,"LD"
2,"Baseline","Nest",1170,0.35,0.21,"LD"
2,"Baseline","Nest",1180,0.6,0.36,"LD"
2,"Baseline","Nest",1190,0.87,0.49,"LD"
2,"Baseline","Nest",1200,0.75,0.33,"LD"
2,"Baseline","Nest",1210,0.37,0.31,"LD"
2,"Baseline","Nest",1220,0.1,0.1,"LD"
2,"Baseline","Nest",1230,0.47,0.41,"LD"
2,"Baseline","Nest",1240,0,0,"LD"
2,"Baseline","Nest",1250,0,0,"LD"
2,"Baseline","Nest",1260,0.03,0.03,"LD"
2,"Baseline","Nest",1270,0,0,"LD"
2,"Baseline","Nest",1280,0,0,"LD"
2,"Baseline","Nest",1290,0,0,"LD"
