"Mouse","Stage","Behavior","Time","Amplitude","SEM","Condition"
1,"Baseline","Nest",180,0.55,0.49,"DD"
1,"Baseline","Nest",190,0.53,0.23,"DD"
1,"Baseline","Nest",200,0.17,0.12,"DD"
1,"Baseline","Nest",210,0.2,0.09,"DD"
1,"Baseline","Nest",220,0.17,0.02,"DD"
1,"Baseline","Nest",230,0.92,0.48,"DD"
1,"Baseline","Nest",240,0.57,0.34,"DD"
1,"Baseline","Nest",250,1.05,0.55,"DD"
1,"Baseline","Nest",260,0.73,0.35,"DD"
1,"Baseline","Nest",270,0.83,0.63,"DD"
1,"Baseline","Nest",280,0.75,0.62,"DD"
1,"Baseline","Nest",290,0.28,0.11,"DD"
1,"Baseline","Nest",300,0.22,0.05,"DD"
1,"Baseline","Nest",310,0.08,0.03,"DD"
1,"Baseline","Nest",320,0.73,0.38,"DD"
1,"Baseline","Nest",330,1.27,0.73,"DD"
1,"Baseline","Nest",340,1.15,0.8,"DD"
1,"Baseline","Nest",350,0.82,0.46,"DD"
1,"Baseline","Nest",360,0.28,0.15,"DD"
1,"Baseline","Nest",370,0.1,0.06,"DD"
1,"Baseline","Nest",380,0.5,0.23,"DD"
1,"Baseline","Nest",390,0.12,0.05,"DD"
1,"Baseline","Nest",400,0.2,0.09,"DD"
1,"Baseline","Nest",410,0.1,0.06,"DD"
1,"Baseline","Nest",420,0.1,0.07,"DD"
1,"Baseline","Nest",430,0.22,0.16,"DD"
1,"Baseline","Nest",440,1.15,0.2,"DD"
1,"Baseline","Nest",450,2.5,0.23,"DD"
1,"Baseline","Nest",460,1.18,0.52,"DD"
1,"Baseline","Nest",470,1.12,0.86,"DD"
1,"Baseline","Nest",480,0.82,0.61,"DD"
1,"Baseline","Nest",490,0.87,0.5,"DD"
1,"Baseline","Nest",500,1.98,0.8,"DD"
1,"Baseline","Nest",510,2.55,0.75,"DD"
1,"Baseline","Nest",520,1.82,0.69,"DD"
1,"Baseline","Nest",530,0.68,0.61,"DD"
1,"Baseline","Nest",540,1,0.93,"DD"
1,"Baseline","Nest",550,1,0.5,"DD"
1,"Baseline","Nest",560,0.5,0.43,"DD"
1,"Baseline","Nest",570,0.17,0.14,"DD"
1,"Baseline","Nest",580,0.12,0.06,"DD"
1,"Baseline","Nest",590,0.22,0.14,"DD"
1,"Baseline","Nest",600,0.1,0.04,"DD"
1,"Baseline","Nest",610,0.5,0.27,"DD"
1,"Baseline","Nest",620,0.5,0.37,"DD"
1,"Baseline","Nest",630,1.75,0.94,"DD"
1,"Baseline","Nest",640,1.85,0.82,"DD"
1,"Baseline","Nest",650,1.78,0.85,"DD"
1,"Baseline","Nest",660,0.9,0.39,"DD"
1,"Baseline","Nest",670,1.05,0.5,"DD"
1,"Baseline","Nest",680,1.4,0.47,"DD"
1,"Baseline","Nest",690,2.03,0.61,"DD"
1,"Baseline","Nest",700,1.35,0.49,"DD"
1,"Baseline","Nest",710,1.87,0.65,"DD"
1,"Baseline","Nest",720,1.62,0.79,"DD"
1,"Baseline","Nest",730,2.5,0.68,"DD"
1,"Baseline","Nest",740,2.85,0.25,"DD"
1,"Baseline","Nest",750,2.35,0.31,"DD"
1,"Baseline","Nest",760,2.95,0.36,"DD"
1,"Baseline","Nest",770,2.75,0.23,"DD"
1,"Baseline","Nest",780,2,0.59,"DD"
1,"Baseline","Nest",790,1.53,0.68,"DD"
1,"Baseline","Nest",800,1.32,0.62,"DD"
1,"Baseline","Nest",810,2.33,0.15,"DD"
1,"Baseline","Nest",820,2.48,0.55,"DD"
1,"Baseline","Nest",830,1.72,0.57,"DD"
1,"Baseline","Nest",840,1.62,0.56,"DD"
1,"Baseline","Nest",850,2,0.69,"DD"
1,"Baseline","Nest",860,1.75,0.43,"DD"
1,"Baseline","Nest",870,2.05,0.58,"DD"
1,"Baseline","Nest",880,1.83,0.36,"DD"
1,"Baseline","Nest",890,2.42,0.31,"DD"
1,"Baseline","Nest",900,1.75,0.62,"DD"
1,"Baseline","Nest",910,1.48,0.68,"DD"
1,"Baseline","Nest",920,1.35,0.59,"DD"
1,"Baseline","Nest",930,2.22,0.69,"DD"
1,"Baseline","Nest",940,2,0.5,"DD"
1,"Baseline","Nest",950,2.6,0.47,"DD"
1,"Baseline","Nest",960,2.47,0.2,"DD"
1,"Baseline","Nest",970,3.03,0.34,"DD"
1,"Baseline","Nest",980,2.85,0.22,"DD"
1,"Baseline","Nest",990,2.17,0.27,"DD"
1,"Baseline","Nest",1000,1.37,0.64,"DD"
1,"Baseline","Nest",1010,1.15,0.48,"DD"
1,"Baseline","Nest",1020,0.95,0.6,"DD"
